http://www.amazon.com/gp/offer-listing/B004XLAWZA,26/03/2014,,
other,7.91,0,201
accmart,7.94,0,"3,344"
eformart,7.15,$0.79 ,"9,650"
other,7.94,0,"5,514"
other,8.22,0,13
other,8.43,0,60
other,5.08,$3.99 ,0
other,9.23,0,56
other,9.66,0,232
other,9.66,0,113
http://www.amazon.com/gp/offer-listing/B0009DPQYI,26/03/2014,,
other,0.01,$3.99 ,"4,211"
eformart,3.25,$0.79 ,"9,650"
accmart,4.04,0,"3,344"
ELE,4.05,0,"1,574"
other,4.39,0,"50,562"
other,0.95,$3.99 ,"21,076"
other,0.98,$3.99 ,"34,609"
other,5.81,0,"1,450"
other,1.88,$3.98 ,"49,099"
other,1.87,$3.99 ,"32,252"
http://www.amazon.com/gp/offer-listing/B000Y991XO,26/03/2014,,
other,2.48,0,"5,515"
eformart,1.69,$0.79 ,"9,650"
ELE,2.48,0,"1,574"
other,2.48,0,"1,468"
accmart,2.48,0,"3,344"
smart,2.48,0,"9,347"
overfeel,2.49,0,"2,990"
HKSELLER,2.49,0,"6,369"
space,2.49,0,"5,429"
other,2.8,0,"31,453"
http://www.amazon.com/gp/offer-listing/B0019SVUQK,26/03/2014,,
other,2.56,0,"1,888"
ELE,2.57,0,"1,574"
other,2.58,0,"1,926"
accmart,2.58,0,"3,344"
eformart,2,$0.79 ,"9,650"
other,1.8,$0.99 ,"33,238"
other,2.91,0,"31,453"
other,3.62,0,"18,275"
other,3.99,0,"1,070"
other,4.49,0,"191,587"
http://www.amazon.com/gp/offer-listing/B001M547EM,26/03/2014,,
other,8.98,0,13
ELE,8.99,0,"1,574"
eformart,8.2,$0.79 ,"9,650"
other,10.55,0,18
other,10.76,0,272
other,4.99,$5.99 ,0
other,17.99,0,"2,155"
other,15,$5.99 ,0
other,19.99,$5.99 ,0
other,24.5,$5.99 ,"5,885"
http://www.amazon.com/gp/offer-listing/B002HZWEIC,26/03/2014,,
eformart,2.12,$0.79 ,"9,650"
accmart,2.91,0,"3,344"
ELE,2.91,0,"1,574"
other,2.91,0,"5,514"
other,1.16,$1.95 ,9
other,3.32,0,"1,927"
other,4.17,0,"142,869"
other,4.18,0,"1,195"
other,1.25,$2.99 ,"243,613"
other,5.17,0,"8,933"
http://www.amazon.com/gp/offer-listing/B003XTX09S,26/03/2014,,
other,4.98,0,13
other,5.01,0,17
other,5.02,0,226
other,5.02,0,"1,470"
ELE,5.02,0,"1,574"
other,2.53,$2.49 ,"1,464"
accmart,5.02,0,"3,344"
eformart,4.24,$0.79 ,"9,650"
other,5.03,0,"5,515"
other,3,$2.30 ,"2,738"
http://www.amazon.com/gp/offer-listing/B004SW9Q38,26/03/2014,,
ELE,7.12,0,"1,574"
eformart,6.34,$0.79 ,"9,650"
other,5.14,$1.99 ,458
smart,7.13,0,"9,347"
space,7.14,0,"5,429"
HKSELLER,7.14,0,"6,369"
overfeel,7.14,0,"2,990"
other,6.3,$0.99 ,300
other,6.32,$0.97 ,558
other,6.31,$0.98 ,1
http://www.amazon.com/gp/offer-listing/B007A2BLKO,26/03/2014,,
accmart,5.99,0,"3,344"
ELE,5.99,0,"1,574"
other,5.99,0,"1,470"
other,5.99,0,"1,929"
eformart,5.2,$0.79 ,"9,650"
other,5.32,$1.99 ,45
other,8.51,0,"1,286"
other,5.79,$3.25 ,106
other,7.33,$1.99 ,180
other,9.92,0,1
http://www.amazon.com/gp/offer-listing/B003YNS0W0,26/03/2014,,
other,6.87,0,"1,322"
other,6.87,0,72
other,6.9,0,"1,365"
other,6.92,0,412
other,6.95,0,"1,049"
other,7.97,0,588
other,9.5,0,0
other,4.99,$4.99 ,0
other,7.61,$2.98 ,"859,347"
other,10.6,0,"6,548"
http://www.amazon.com/gp/offer-listing/B004TNPA40,26/03/2014,,
eformart,8.06,$0.79 ,"9,650"
other,8.85,0,112
other,8.85,0,"5,515"
other,6.86,$1.99 ,458
other,8.86,0,56
other,8.86,0,83
other,8.86,0,48
other,4.88,$3.99 ,0
accmart,8.9,0,"3,344"
other,8.98,0,60
http://www.amazon.com/gp/offer-listing/B001KT80IO,26/03/2014,,
other,2.9,0,"3,410"
