smart,1.68,0,"9,363",,smart,1.68,0,"9,362",,,,
other,1.69,0,166,,other,1.69,0,234,,,,
other,1.69,0,"1,367",,other,1.69,0,166,,,,
other,1.69,0,233,,other,1.69,0,"1,367",,,,
HKSELLER,1.69,0,"6,374",,space,1.69,0,"5,433",,,,
space,1.69,0,"5,434",,HKSELLER,1.69,0,"6,374",,,,
overfeel,1.69,0,"3,000",,overfeel,1.69,0,"3,000",,,,
other,1.7,0,"5,532",,other,1.7,0,340,,,,
other,1.7,0,340,,other,1.7,0,"5,531",,,,
http://www.amazon.com/gp/offer-listing/B003KXEDVQ,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B003KXEDVQ,27/03/2014,,,,,,
ELE,4.6,0,"1,573",,ELE,4.6,0,"1,573",,,,
other,4.7,0,"2,886",,other,4.7,0,"2,886",,,,
other,2.24,$2.49 ,"1,467",,other,2.24,$2.49 ,"1,467",,,,
other,4.74,0,13,,other,4.74,0,13,,,,
other,4.74,0,340,,other,4.74,0,340,,,,
accmart,4.8,0,"3,346",,accmart,4.8,0,"3,346",,,,
other,4.84,0,"1,936",,other,4.84,0,"1,936",,,,
eformart,4.13,$0.79 ,"9,653",,eformart,4.13,$0.79 ,"9,653",,,,
other,4.92,0,"1,936",,other,4.92,0,"1,936",,,,
other,5.01,0,166,,other,5.01,0,166,,,,
http://www.amazon.com/gp/offer-listing/B004I0FK6M,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B004I0FK6M,27/03/2014,,,,,,
eformart,0.64,$0.79 ,"9,653",,eformart,0.64,$0.79 ,"9,653",,,,
ELE,1.44,0,"1,573",,other,1.44,0,"1,367",,,,
other,1.44,0,"4,907",,other,1.44,0,"4,907",,,,
other,1.44,0,"1,474",,ELE,1.44,0,"1,573",,,,
other,1.44,0,"1,367",,other,1.44,0,"1,474",,,,
other,1.45,0,85,,accmart,1.45,0,"3,346",,,,
accmart,1.45,0,"3,346",,other,0.76,$0.69 ,"1,456",,,,
other,1.45,0,157,,other,1.45,0,157,,,,
other,0.76,$0.69 ,"1,456",,other,1.45,0,85,,,,
other,1.47,0,"5,531",,other,1.47,0,"5,532",,,,
http://www.amazon.com/gp/offer-listing/B007KFVQXI,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B007KFVQXI,27/03/2014,,,,,,
eformart,4.11,$0.79 ,"9,653",,eformart,4.11,$0.79 ,"9,653",,,,
other,4.9,0,"1,936",,other,4.9,0,"1,936",,,,
other,4.95,0,"2,887",,other,4.95,0,"2,887",,,,
other,4.96,0,"5,528",,other,4.96,0,"5,532",,,,
other,4.96,0,89,,other,4.96,0,89,,,,
other,5.15,0,269,,other,5.15,0,269,,,,
other,5.15,0,818,,other,5.15,0,818,,,,
other,5.18,0,"11,843",,other,5.18,0,"11,843",,,,
other,5.19,0,"4,402",,other,5.19,0,"4,402",,,,
other,5.19,0,"5,043",,other,5.19,0,"5,045",,,,
http://www.amazon.com/gp/offer-listing/B00810ROQ4,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B00810ROQ4,27/03/2014,,,,,,
eformart,13,$0.79 ,"9,653",,ELE,13.79,0,"1,573",,,,
other,13.79,0,286,,other,13.79,0,24,,,,
other,13.79,0,377,,other,13.79,0,377,,,,
other,13.79,0,24,,eformart,13,$0.79 ,"9,653",,,,
ELE,13.79,0,"1,573",,other,13.79,0,286,,,,
accmart,13.89,0,"3,346",,accmart,13.89,0,"3,346",,,,
other,14.76,0,18,,other,14.76,0,18,,,,
other,12.57,$3.00 ,4,,other,12.57,$3.00 ,4,,,,
other,10.99,$4.59 ,2,,other,10.99,$4.59 ,2,,,,
other,15.64,0,"1,596",,other,15.64,0,651,,,,
http://www.amazon.com/gp/offer-listing/B0044EOQO4,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B0044EOQO4,27/03/2014,,,,,,
other,1.98,0,"4,758",,eformart,1.19,$0.79 ,"9,653",,,,
other,1.98,0,"4,402",,other,1.98,0,85,,,,
eformart,1.19,$0.79 ,"9,653",,accmart,1.98,0,"3,346",,,,
other,1.98,0,85,,other,1.98,0,"4,758",,,,
accmart,1.98,0,"3,346",,other,1.98,0,"4,402",,,,
other,1.99,0,"5,045",,other,1.99,0,"11,843",,,,
other,1.99,0,"11,843",,other,1.99,0,"5,044",,,,
ELE,2,0,"1,573",,ELE,2,0,"1,573",,,,
other,2.03,0,"1,936",,other,1.34,$0.69 ,"1,455",,,,
other,1.34,$0.69 ,"1,455",,other,2.03,0,"1,936",,,,
http://www.amazon.com/gp/offer-listing/B000V6T66C,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B000V6T66C,27/03/2014,,,,,,
other,2.77,0,614,,other,2.77,0,614,,,,
other,2.78,0,12,,other,2.78,0,12,,,,
other,0.8,$1.99 ,883,,other,0.8,$1.99 ,883,,,,
eformart,2.06,$0.79 ,"9,653",,accmart,2.85,0,"3,346",,,,
accmart,2.85,0,"3,346",,ELE,2.85,0,"1,573",,,,
ELE,2.85,0,"1,573",,eformart,2.06,$0.79 ,"9,653",,,,
other,0.9,$1.99 ,88,,other,0.9,$1.99 ,87,,,,
