other,6.94,0,340,6.94,,
other,6.98,0,48,6.98,,
http://www.amazon.com/gp/offer-listing/B003E2T13S,26/03/2014,,,#VALUE!,,
eformart,0.89,$0.79 ,"9,650",1.68,,
smart,1.68,0,"9,346",1.68,,
other,1.69,0,"5,515",1.69,,
HKSELLER,1.69,0,"6,369",1.69,,
space,1.69,0,"5,429",1.69,,
overfeel,1.69,0,"2,989",1.69,,
ELE,1.7,0,"1,574",1.7,,
other,1.7,0,336,1.7,,
other,1.76,0,"1,364",1.76,,
Meco,1.99,0,"8,843",1.99,,
http://www.amazon.com/gp/offer-listing/B003KXEDVQ,26/03/2014,,,#VALUE!,,
ELE,4.6,0,"1,574",4.6,,
other,4.7,0,"2,869",4.7,,
other,2.24,$2.49 ,"1,464",4.73,,
other,4.74,0,336,4.74,,
other,4.74,0,13,4.74,,
accmart,4.8,0,"3,344",4.8,,
other,4.84,0,"1,929",4.84,,
eformart,4.13,$0.79 ,"9,650",4.92,,
other,4.92,0,"1,924",4.92,,
other,5.01,0,"5,515",5.01,,
http://www.amazon.com/gp/offer-listing/B004I0FK6M,26/03/2014,,,#VALUE!,,
accmart,1.43,0,"3,344",1.43,,
eformart,0.64,$0.79 ,"9,650",1.43,,
other,1.44,0,"1,468",1.44,,
other,1.44,0,"4,902",1.44,,
other,1.44,0,"1,364",1.44,,
ELE,1.44,0,"1,574",1.44,,
other,0.76,$0.69 ,"1,449",1.45,,
other,1.45,0,84,1.45,,
other,1.45,0,155,1.45,,
other,1.47,0,"5,515",1.47,,
http://www.amazon.com/gp/offer-listing/B007KFVQXI,26/03/2014,,,#VALUE!,,
other,4.9,0,"1,924",4.9,,
eformart,4.11,$0.79 ,"9,650",4.9,,
other,4.95,0,"2,870",4.95,,
other,4.95,0,"1,468",4.95,,
other,4.96,0,"5,515",4.96,,
other,5.15,0,268,5.15,,
other,5.15,0,814,5.15,,
other,5.18,0,"11,835",5.18,,
other,5.19,0,"5,021",5.19,,
other,5.19,0,"4,403",5.19,,
